Type,Wave,Epic_ID,Epic_Name,Feature_ID,Feature_Name,Story_ID,Title,User_Story,Acceptance_Criteria,Status,Priority,Persona,Notes
User Story,Wave 1,E1,Data model and security foundation,F1.1,Core custom objects,US-1.1.1,Dedicated onboarding application object,"As a platform admin, I want onboarding applications stored in a dedicated object, so that journey state is separate from Cases and Leads.","Application has status, product, channel, correlation ID, risk fields; links to Account",Built,High,Platform admin,CB_Onboarding_Application__c
User Story,Wave 1,E1,Data model and security foundation,F1.1,Core custom objects,US-1.1.2,Integration logs linked to applications,"As a compliance officer, I want integration logs linked to applications, so that I can reconstruct decision trails.","Log records capture direction, HTTP status, correlation ID, payload",Built,High,Compliance officer,CB_Integration_Log__c
User Story,Wave 1,E1,Data model and security foundation,F1.1,Core custom objects,US-1.1.3,Fin account on core account open,"As an operations user, I want fin accounts created when core opens an account, so that agents see sort code and account number in CRM.",CB_Fin_Account__c created on CB_Account_Opened__e,Built,High,Operations user,CB_Fin_Account__c
User Story,Wave 1,E1,Data model and security foundation,F1.2,Account extensions,US-1.2.1,Customer KYC and IDV status on Account,"As a KYC analyst, I want customer KYC/IDV status on Account, so that I see holistic customer state.","CB_KYC_Status__c, CB_IDV_Status__c, CB_Customer_Status__c, CB_Risk_Rating__c populated by handlers",Built,High,KYC analyst,Account custom fields
User Story,Wave 1,E1,Data model and security foundation,F1.3,Platform events,US-1.3.1,MuleSoft publishes completion events,"As MuleSoft, I want to publish completion events to Salesforce, so that application state updates asynchronously.",REST ingress POST /cb/v1/events/{eventType} with shared secret; triggers update handlers,Built,Critical,Integration service,CB_EventIngressRest
User Story,Wave 1,E1,Data model and security foundation,F1.3,Platform events,US-1.3.2,Publish onboarding submitted event,"As Salesforce, I want to publish CB_Onboarding_Submitted__e on application submit, so that orchestration starts without blocking the UI.",Event published; queueable or MuleSoft orchestration enqueued,Built,Critical,Integration service,CB_Onboarding_Submitted__e
User Story,Wave 1,E1,Data model and security foundation,F1.4,Security model,US-1.4.1,Role-based FLS on compliance fields,"As a security admin, I want role-based FLS on compliance fields, so that only authorised roles edit risk decisions.",FLS on application screening and integration log fields per permission set,Built,High,Security admin,Permission sets
User Story,Wave 1,E1,Data model and security foundation,F1.4,Security model,US-1.4.2,Field-level encryption for PII,"As a security admin, I want field-level encryption on NI number DOB and document references in production.",Shield encryption policies applied per data classification,Not Started,Critical,Security admin,Wave 2 production
User Story,Wave 1,E2,Retail current account onboarding,F2.1,Retail application capture,US-2.1.1,Capture retail personal details,"As a retail applicant, I want to enter personal details (name email phone DOB address nationality), so that CB can perform IDV and pre-score.",Screen flow captures fields; Person Account created,Built,High,Retail applicant,CB_Retail_Onboarding flow
User Story,Wave 1,E2,Retail current account onboarding,F2.1,Retail application capture,US-2.1.2,Post-submit outcome messaging,"As a retail applicant, I want to see what happens after I submit, so that I understand wait times and outcomes.","Result screen shows prescore summary, expected outcome, application ID",Built,Medium,Retail applicant,
User Story,Wave 1,E2,Retail current account onboarding,F2.1,Retail application capture,US-2.1.3,Mobile Experience Cloud retail onboarding,"As a retail applicant on Experience Cloud, I want to complete onboarding on mobile without an agent.",Responsive Experience Cloud site with OTP login,Not Started,High,Retail applicant,Wave 2
User Story,Wave 1,E2,Retail current account onboarding,F2.1,Retail application capture,US-2.1.4,POA upload on weak bureau match,"As a retail applicant, I want to upload POA when bureau match is weak.",Document upload component; CB_Compliance_Document__c POA type; analyst notification,Partial,High,Retail applicant,POA record created; upload UI not started
User Story,Wave 1,E2,Retail current account onboarding,F2.2,Retail integration journey,US-2.2.1,Nationality-driven prescore,"As CB, I want UK nationals pre-scored as Low/Simplified CDD and non-UK as Medium/Standard, so that risk tier drives the journey.","CB_PrescoreService sets Risk_Tier__c, CDD_Level__c",Built,High,CB operations,Mock in Wave 1
User Story,Wave 1,E2,Retail current account onboarding,F2.2,Retail integration journey,US-2.2.2,IDV pass refer fail branching,"As CB, I want IDV Pass to continue STP and IDV Refer/Fail to pause or reject.",Handlers update status; refer creates CB_KYC_CDD case,Built,High,CB operations,
User Story,Wave 1,E2,Retail current account onboarding,F2.2,Retail integration journey,US-2.2.3,Screening hit case creation,"As CB, I want sanctions/PEP hits to create screening cases without auto-rejecting until reviewed.",CB_Screening case; application Under_Review,Built,High,CB operations,
User Story,Wave 1,E2,Retail current account onboarding,F2.2,Retail integration journey,US-2.2.4,KYC approve triggers account open,"As CB, I want KYC Approve to trigger core account opening.",CB_Account_Opened__e leads to fin account and application Completed,Built,Critical,CB operations,
User Story,Wave 1,E2,Retail current account onboarding,F2.3,Retail demo internal UX,US-2.3.1,Onboarding scenario guide panel,"As a demo presenter, I want a scenario guide on the onboarding tab, so that I can explain personas and outcomes.","cbOnboardingGuide with journey, prescore rules, scenario table",Built,Medium,Demo presenter,cbOnboardingGuide LWC
User Story,Wave 1,E2,Retail current account onboarding,F2.3,Retail demo internal UX,US-2.3.2,Demo persona dropdown in flow,"As a demo presenter, I want to pick demo personas (PASS SANCTIONS_HIT etc.) without typing codes.",Flow dropdown scenarios,Built,Medium,Demo presenter,
User Story,Wave 1,E3,SME business current account onboarding,F3.1,SME application capture,US-3.1.1,Capture company and CRN,"As an SME applicant, I want to enter company details and CRN, so that CB can verify the business at Companies House.",Business Account and application with CRN__c,Built,High,SME applicant,CB_SME_Onboarding flow
User Story,Wave 1,E3,SME business current account onboarding,F3.1,SME application capture,US-3.1.2,Capture primary director details,"As an SME applicant, I want to provide primary director details, so that individual KYC can run after KYB.",Director Person Account created; nationality on application,Built,High,SME applicant,
User Story,Wave 1,E3,SME business current account onboarding,F3.1,SME application capture,US-3.1.3,Sole trader LLP partnership entity types,"As an SME applicant, I want to onboard as sole trader LLP or partnership.",Entity type selection and journey variants,Not Started,Medium,SME applicant,Wave 2; Limited_Company only today
User Story,Wave 1,E3,SME business current account onboarding,F3.2,KYB integration,US-3.2.1,Reject dissolved companies,"As CB, I want dissolved companies rejected before individual checks.","Application Rejected, reason COMPANY_DISSOLVED",Built,High,CB operations,CRN 11111111
User Story,Wave 1,E3,SME business current account onboarding,F3.2,KYB integration,US-3.2.2,KYB case on nominee director flag,"As a KYB analyst, I want a case when nominee director is flagged.",Case created; application Under_Review,Built,High,KYB analyst,CRN 87654321
User Story,Wave 1,E3,SME business current account onboarding,F3.2,KYB integration,US-3.2.3,PSC stored as party relationships,"As CB, I want PSC data stored as party relationships.",CB_Party_Relationship__c on clean CRN,Built,Medium,CB operations,CRN 12345678
User Story,Wave 1,E4,Partner institution onboarding,F4.1,Partner lifecycle,US-4.1.1,Register partner with due diligence,"As a partner onboarding manager, I want to register a partner institution with due diligence.",CB_Partner_Onboarding flow; CB_Partner_Config__c; DD case,Built,High,Partner onboarding manager,
User Story,Wave 1,E4,Partner institution onboarding,F4.1,Partner lifecycle,US-4.1.2,Activate partner and issue API credentials,"As a partner onboarding manager, I want PASS persona to activate partner and issue API credentials.",Config Active; API secret generated,Built,High,Partner onboarding manager,
User Story,Wave 1,E4,Partner institution onboarding,F4.1,Partner lifecycle,US-4.1.3,Refer persona keeps partner in onboarding,"As a partner onboarding manager, I want REFER persona to keep partner in onboarding with open DD case.",Config not active; case open,Built,Medium,Partner onboarding manager,
User Story,Wave 1,E4,Partner institution onboarding,F4.1,Partner lifecycle,US-4.1.4,Partner certification and re-certification,"As CB, I want partner certification and periodic re-certification cases.",CB_Partner_Certification record type and workflow,Not Started,Medium,Partner onboarding manager,Wave 2
User Story,Wave 1,E5,Partner customer origination API,F5.1,Partner REST API,US-5.1.1,Create draft application via API,"As a partner system, I want to create a draft onboarding application via API.",POST /applications returns application ID,Built,High,Partner system,CB_PartnerCustomerRest
User Story,Wave 1,E5,Partner customer origination API,F5.1,Partner REST API,US-5.1.2,Submit application via API,"As a partner system, I want to submit an application to start orchestration.",POST /applications/{id}/submit publishes submitted event,Built,High,Partner system,
User Story,Wave 1,E5,Partner customer origination API,F5.1,Partner REST API,US-5.1.3,Poll application status via API,"As a partner system, I want to poll application status.",GET /applications/{id} returns status and correlation ID,Built,High,Partner system,
User Story,Wave 1,E5,Partner customer origination API,F5.1,Partner REST API,US-5.1.4,IDV session creation for partner UX,"As a partner system, I want IDV session creation for embedded partner UX.",POST /applications/{id}/idv/sessions,Partial,Medium,Partner system,Mock shape only
User Story,Wave 1,E5,Partner customer origination API,F5.1,Partner REST API,US-5.1.5,API rate limiting and IP allowlisting,"As CB security, I want API rate limiting and IP allowlisting per partner.",MuleSoft policies and partner config,Not Started,High,Security admin,Wave 2
User Story,Wave 1,E6,Case management and analyst workflows,F6.1,Case record types and queues,US-6.1.1,Cases linked to applications,"As a KYC analyst, I want cases linked to applications and accounts.",CB_Onboarding_Application__c on Case,Built,High,KYC analyst,
User Story,Wave 1,E6,Case management and analyst workflows,F6.1,Case record types and queues,US-6.1.2,Resolve screening case and resume application,"As a FinCrime analyst, I want to resolve a screening case and resume the application.",CB_Resolve_Onboarding_Case flow; CB_ResolveCaseActions,Built,Critical,FinCrime analyst,
User Story,Wave 1,E6,Case management and analyst workflows,F6.1,Case record types and queues,US-6.1.3,MLRO queue view with risk tier,"As an MLRO, I want a queue view of open screening cases with risk tier visible.",List views or reports on Case and Application risk,Partial,Medium,MLRO,
User Story,Wave 1,E6,Case management and analyst workflows,F6.1,Case record types and queues,US-6.1.4,Action Plans for enhanced CDD,"As a KYC analyst, I want Action Plans for enhanced CDD steps.",Salesforce Action Plans on Case,Not Started,Medium,KYC analyst,Wave 2
User Story,Wave 1,E6,Case management and analyst workflows,F6.2,Analyst console,US-6.2.1,Unified onboarding workbench,"As an analyst, I want a unified onboarding workbench showing application documents screening and integration log.",Lightning app page with related lists and timeline,Partial,High,Analyst,Record page exists; workbench not started
User Story,Wave 1,E6,Case management and analyst workflows,F6.2,Analyst console,US-6.2.2,MLRO escalation audit trail,"As an MLRO, I want to record escalation decisions with immutable audit.",MLRO decision fields and field history or Shield,Not Started,High,MLRO,Wave 2
User Story,Wave 1,E7,Integration and async orchestration,F7.1,MuleSoft orchestration,US-7.1.1,Async MuleSoft call on submit,"As CB, I want Salesforce to call MuleSoft on application submit without blocking the user.",Queueable and Named Credential; 202 async pattern,Built,Critical,Integration service,
User Story,Wave 1,E7,Integration and async orchestration,F7.1,MuleSoft orchestration,US-7.1.2,Fallback mock orchestration,"As CB, I want fallback in-org mock orchestration when MuleSoft is unreachable.",CB_MockOrchestrator fallback,Built,High,Integration service,
User Story,Wave 1,E7,Integration and async orchestration,F7.1,MuleSoft orchestration,US-7.1.3,Per-environment integration settings,"As CB, I want integration settings configurable per environment.",CB_Integration_Settings__c hierarchy custom setting,Built,Medium,Platform admin,
User Story,Wave 1,E7,Integration and async orchestration,F7.2,Event contracts,US-7.2.1,Stable event schemas for vendor swap,"As integration lead, I want stable event schemas so Wave 2 vendor swap does not require Salesforce changes.",Event fields documented; versioned payloads in Payload_Json__c,Built,High,Integration lead,
User Story,Wave 1,E8,Internal operations UX,F8.1,CB Onboarding app,US-8.1.1,Single onboarding operations app,"As an internal user, I want one app for onboarding demos and operations.",CB_Onboarding Lightning app deployed,Built,Medium,Internal user,
User Story,Wave 1,E8,Internal operations UX,F8.1,CB Onboarding app,US-8.1.2,All Applications list view,"As an internal user, I want list views showing all applications not only recently viewed.",All_Applications list view,Built,Low,Internal user,
User Story,Wave 1,E9,Application lifecycle,F9.1,Application expiry,US-9.1.1,Expire stale applications after 30 days,"As CB, I want stale applications expired after 30 days.",CB_ApplicationExpiryScheduler and batch,Built,Medium,CB operations,
User Story,Wave 1,E9,Application lifecycle,F9.1,Application expiry,US-9.1.2,Resume saved application within expiry window,"As a customer, I want to resume a saved application within the expiry window.",Save and resume via Experience Cloud or draft status,Not Started,High,Retail applicant,Wave 2
User Story,Wave 2,E10,Experience Cloud CB direct,F10.1,Retail digital onboarding,US-10.1.1,Email OTP registration,"As a retail applicant, I want to register with email OTP, so that I can start onboarding without a branch visit.",Experience Cloud site; OTP verification; guest to authenticated,Not Started,Critical,Retail applicant,
User Story,Wave 2,E10,Experience Cloud CB direct,F10.1,Retail digital onboarding,US-10.1.2,Embedded Onfido IDV,"As a retail applicant, I want embedded Onfido IDV in the journey, so that I complete selfie/document check on my phone.",Onfido SDK or redirect; real session status polling,Not Started,Critical,Retail applicant,
User Story,Wave 2,E10,Experience Cloud CB direct,F10.1,Retail digital onboarding,US-10.1.3,Email SMS status notifications,"As a retail applicant, I want status updates by email/SMS when my application is referred or completed.",Marketing Cloud or Service notifications on status change,Not Started,Medium,Retail applicant,
User Story,Wave 2,E10,Experience Cloud CB direct,F10.2,SME digital onboarding,US-10.2.1,Companies House company name search,"As an SME applicant, I want to search Companies House by company name, so that I don't mistype CRN.",Typeahead CH search API,Not Started,High,SME applicant,
User Story,Wave 2,E10,Experience Cloud CB direct,F10.2,SME digital onboarding,US-10.2.2,Multiple directors and UBOs,"As an SME applicant, I want to add multiple directors/UBOs, so that KYB captures full ownership.",Multi-party capture UI and CB_Party_Relationship__c,Not Started,High,SME applicant,
User Story,Wave 2,E11,Live vendor integrations,F11.1,Replace mock layer,US-11.1.1,Swap mock for production APIs in MuleSoft only,"As integration lead, I want to swap mock base URL for production System APIs in MuleSoft only.",No Salesforce metadata change for event contracts,Not Started,Critical,Integration lead,
User Story,Wave 2,E11,Live vendor integrations,F11.1,Replace mock layer,US-11.1.2,Vendor timeouts and circuit breakers,"As CB, I want vendor timeouts and circuit breakers, so that partial failures don't corrupt application state.",MuleSoft retry policies; compensating transactions documented,Not Started,High,Integration lead,
User Story,Wave 2,E12,Operational excellence,F12.1,SLAs and monitoring,US-12.1.1,SLA milestones on onboarding cases,"As operations manager, I want SLA milestones on onboarding cases.",Entitlements and milestones per record type,Not Started,High,Operations manager,
User Story,Wave 2,E12,Operational excellence,F12.1,SLAs and monitoring,US-12.1.2,Integration failure alerting,"As SRE, I want Datadog/Splunk alerts on integration failure rates.",Log streaming from MuleSoft and Salesforce Event Monitoring,Not Started,High,SRE,
User Story,Wave 2,E12,Operational excellence,F12.1,SLAs and monitoring,US-12.1.3,Onboarding funnel dashboards,"As product owner, I want onboarding funnel dashboards.",Reports: submitted to completed conversion refer rates TAT,Not Started,Medium,Product owner,
User Story,Wave 2,E13,Security and compliance hardening,F13.1,Compliance controls,US-13.1.1,Consent records with lawful basis,"As DPO, I want consent records with lawful basis per processing purpose.",Consent object or CB consent fields on Application,Not Started,Critical,DPO,
User Story,Wave 2,E13,Security and compliance hardening,F13.1,Compliance controls,US-13.1.2,FATF high-risk country EDD,"As compliance, I want FATF high-risk country list to force Enhanced CDD.",Country risk reference data in prescore,Not Started,High,Compliance officer,
User Story,Wave 2,E13,Security and compliance hardening,F13.1,Compliance controls,US-13.1.3,Secrets rotation and vault storage,"As security, I want secrets rotated and not stored in custom fields unencrypted.",API secrets in vault; masked in UI,Not Started,Critical,Security admin,
User Story,Wave 2,E14,Document and evidence management,F14.1,Document workflow,US-14.1.1,Secure POA upload,"As a customer, I want to upload POA securely when requested.",File upload to encrypted storage; linked to CB_Compliance_Document__c,Not Started,High,Retail applicant,
User Story,Wave 2,E14,Document and evidence management,F14.1,Document workflow,US-14.1.2,Analyst document approve reject,"As a KYC analyst, I want to approve/reject documents with reason codes.",Document status workflow,Not Started,High,KYC analyst,
User Story,Wave 2,E15,Partner production API,F15.1,Partner API hardening,US-15.1.1,Partner sandbox environment,"As a partner, I want a sandbox environment with test personas.",Separate Named Credential and partner config per env,Not Started,High,Partner system,
User Story,Wave 2,E15,Partner production API,F15.1,Partner API hardening,US-15.1.2,Partner status webhooks,"As a partner, I want webhooks for application status changes.",MuleSoft Experience API callbacks,Not Started,High,Partner system,
User Story,Wave 2,E15,Partner production API,F15.1,Partner API hardening,US-15.1.3,Partner certification before prod keys,"As CB, I want partner certification before production keys.",Certification case and checklist,Not Started,High,Partner onboarding manager,
User Story,Wave 3,E18,FSC fit-gap and migration,F18.1,FSC evaluation,US-18.1.1,Application to ApplicationForm mapping,"As enterprise architect, I want a mapping document from CB_Onboarding_Application__c to FSC ApplicationForm.",Signed fit-gap and migration strategy,Not Started,Medium,Enterprise architect,
User Story,Wave 3,E18,FSC fit-gap and migration,F18.1,FSC evaluation,US-18.2.1,Dual-write migration period,"As CB, I want dual-write period during migration.",Parallel run with reconciliation reports,Not Started,Medium,Enterprise architect,
